STATEFP20,COUNTYFP20,VTDST20,GEOID20,NAME20,GEOID,ADJPOP,TAWHITEALN,TABLACKCMB,TAAIANCMB,TAASIANCMB,TANHOPICMB,TAOTHERALN,TA2RACE,TAHISPANIC
32,003,004560,32003004560,4560,7000000US32003004560,2507,461,168,97,83,14,1226,567,2048
32,003,004561,32003004561,4561,7000000US32003004561,2635,513,75,78,32,6,1625,344,2294
32,003,004562,32003004562,4562,7000000US32003004562,1672,345,340,63,78,26,662,287,1045
32,003,004563,32003004563,4563,7000000US32003004563,1887,377,459,58,52,39,709,287,1114
32,003,004564,32003004564,4564,7000000US32003004564,877,193,369,16,47,4,199,111,322
32,003,004565,32003004565,4565,7000000US32003004565,4341,853,653,261,229,43,1713,942,3004
32,003,004566,32003004566,4566,7000000US32003004566,3377,678,632,128,131,49,1322,648,2241
32,003,004567,32003004567,4567,7000000US32003004567,5341,1068,956,197,145,38,2247,918,3620
32,003,004568,32003004568,4568,7000000US32003004568,550,99,50,26,10,4,277,99,433
32,003,004569,32003004569,4569,7000000US32003004569,2882,500,313,85,32,19,1589,423,2292
32,003,004571,32003004571,4571,7000000US32003004571,164,16,17,5,28,2,61,45,119
32,003,004572,32003004572,4572,7000000US32003004572,27,9,9,2,2,3,0,10,11
32,003,004573,32003004573,4573,7000000US32003004573,870,211,356,19,73,23,171,112,275
32,003,004574,32003004574,4574,7000000US32003004574,0,0,0,0,0,0,0,0,0
32,003,004577,32003004577,4577,7000000US32003004577,5519,922,753,291,221,30,2453,1089,4098
32,003,004581,32003004581,4581,7000000US32003004581,3918,848,1380,108,272,106,919,556,1598
32,003,004582,32003004582,4582,7000000US32003004582,2254,653,538,113,194,39,455,459,1057
32,003,004583,32003004583,4583,7000000US32003004583,2918,612,979,88,285,87,599,494,1183
32,003,004584,32003004584,4584,7000000US32003004584,2641,627,1018,70,232,75,407,435,923
32,003,004585,32003004585,4585,7000000US32003004585,3501,639,189,117,87,19,1808,753,2935
32,003,004586,32003004586,4586,7000000US32003004586,3853,984,933,135,405,78,921,738,1709
32,003,004590,32003004590,4590,7000000US32003004590,2105,324,642,44,31,13,825,251,1208
32,003,004591,32003004591,4591,7000000US32003004591,981,126,595,14,15,21,146,118,244
32,003,004592,32003004592,4592,7000000US32003004592,1006,186,201,68,19,9,438,178,656
32,003,004593,32003004593,4593,7000000US32003004593,7565,2296,1574,145,88,46,2569,1012,4680
32,003,004594,32003004594,4594,7000000US32003004594,0,0,0,0,0,0,0,0,0
32,003,004596,32003004596,4596,7000000US32003004596,677,115,67,36,8,7,362,105,544
32,003,004597,32003004597,4597,7000000US32003004597,4991,753,1112,200,76,53,2278,764,3477
32,003,004598,32003004598,4598,7000000US32003004598,3623,569,305,104,60,30,2015,660,3024
32,003,004599,32003004599,4599,7000000US32003004599,3207,540,424,131,94,35,1527,605,2472
32,003,004601,32003004601,4601,7000000US32003004601,506,218,219,9,11,7,22,48,65
32,003,004602,32003004602,4602,7000000US32003004602,3880,679,942,131,162,32,1373,783,2356
32,003,004603,32003004603,4603,7000000US32003004603,1556,631,367,48,132,28,215,235,458
32,003,004604,32003004604,4604,7000000US32003004604,966,430,258,26,120,23,81,103,185
32,003,004605,32003004605,4605,7000000US32003004605,5059,2356,1328,113,380,47,618,466,1017
32,003,004606,32003004606,4606,7000000US32003004606,533,118,109,18,47,5,167,102,286
32,003,004611,32003004611,4611,7000000US32003004611,2026,688,403,88,189,26,450,325,806
32,003,004612,32003004612,4612,7000000US32003004612,3550,1251,995,100,358,61,603,509,1127
32,003,004613,32003004613,4613,7000000US32003004613,0,0,0,0,0,0,0,0,0
32,003,004614,32003004614,4614,7000000US32003004614,455,160,159,28,72,12,34,99,124
32,003,004615,32003004615,4615,7000000US32003004615,0,0,0,0,0,0,0,0,0
32,003,004616,32003004616,4616,7000000US32003004616,3496,381,2223,108,68,42,503,389,930
32,003,004621,32003004621,4621,7000000US32003004621,1529,1022,104,41,181,14,84,202,238
32,003,004623,32003004623,4623,7000000US32003004623,3982,1327,322,134,260,48,1414,676,2377
32,003,004633,32003004633,4633,7000000US32003004633,2455,884,231,88,135,32,687,496,1394
32,003,004634,32003004634,4634,7000000US32003004634,4761,1243,1047,176,254,93,1420,815,2415
32,003,004635,32003004635,4635,7000000US32003004635,2072,634,555,63,104,42,541,305,883
32,003,004636,32003004636,4636,7000000US32003004636,34,5,6,4,2,5,12,9,18
32,003,004637,32003004637,4637,7000000US32003004637,5,1,1,0,1,0,1,3,3
32,003,004638,32003004638,4638,7000000US32003004638,0,0,0,0,0,0,0,0,0
32,003,004641,32003004641,4641,7000000US32003004641,397,146,31,15,25,2,141,56,213
32,003,004642,32003004642,4642,7000000US32003004642,2324,480,175,70,81,25,1088,496,1768
32,003,004643,32003004643,4643,7000000US32003004643,1297,402,147,78,56,18,471,209,818
32,003,004645,32003004645,4645,7000000US32003004645,0,0,0,0,0,0,0,0,0
32,003,004650,32003004650,4650,7000000US32003004650,876,136,196,24,28,4,439,102,591
32,003,004651,32003004651,4651,7000000US32003004651,27,7,4,3,5,3,7,8,11
32,003,004652,32003004652,4652,7000000US32003004652,4799,782,1420,161,131,39,1693,815,2804
32,003,004902,32003004902,4902,7000000US32003004902,12,2,2,2,0,0,0,6,10
32,003,004903,32003004903,4903,7000000US32003004903,0,0,0,0,0,0,0,0,0
32,003,005003,32003005003,5003,7000000US32003005003,607,183,318,11,21,3,52,62,117
32,003,005014,32003005014,5014,7000000US32003005014,68,9,13,14,20,8,10,30,17
32,003,005029,32003005029,5029,7000000US32003005029,4131,1081,1396,108,280,46,796,696,1645
32,003,005034,32003005034,5034,7000000US32003005034,3488,1089,810,103,239,49,924,464,1710
32,003,005036,32003005036,5036,7000000US32003005036,3107,1114,734,122,182,144,622,513,1148
32,003,005047,32003005047,5047,7000000US32003005047,3899,1832,822,96,523,39,357,483,733
32,003,005056,32003005056,5056,7000000US32003005056,1820,459,370,58,133,13,585,281,925
32,003,005323,32003005323,5323,7000000US32003005323,3014,874,314,132,98,24,1190,539,2033
32,003,005324,32003005324,5324,7000000US32003005324,1966,613,161,56,334,18,502,403,932
32,003,005326,32003005326,5326,7000000US32003005326,1621,777,153,60,155,13,296,231,701
32,003,005330,32003005330,5330,7000000US32003005330,3136,818,205,38,997,27,646,520,1336
32,003,005332,32003005332,5332,7000000US32003005332,1459,379,115,36,76,6,556,327,1049
32,003,005333,32003005333,5333,7000000US32003005333,2816,710,216,96,402,28,961,551,1815
32,003,005350,32003005350,5350,7000000US32003005350,2530,935,269,86,215,38,707,450,1306
32,003,005356,32003005356,5356,7000000US32003005356,1331,428,192,35,152,22,282,275,594
32,003,005372,32003005372,5372,7000000US32003005372,4152,926,1034,87,926,59,885,470,1354
32,003,005384,32003005384,5384,7000000US32003005384,2519,619,285,75,139,17,930,575,1647
32,003,005390,32003005390,5390,7000000US32003005390,3479,1583,844,119,125,132,501,458,1017
32,003,005393,32003005393,5393,7000000US32003005393,1675,744,299,43,276,23,148,243,382
32,003,005394,32003005394,5394,7000000US32003005394,2000,1218,184,72,118,27,260,244,574
32,003,005395,32003005395,5395,7000000US32003005395,951,665,106,51,60,19,44,124,162
32,003,005396,32003005396,5396,7000000US32003005396,2383,850,320,50,669,50,297,345,648
32,003,005397,32003005397,5397,7000000US32003005397,2216,1122,254,53,476,30,162,257,398
32,003,005400,32003005400,5400,7000000US32003005400,2141,720,266,57,146,22,638,405,1127
32,003,005403,32003005403,5403,7000000US32003005403,1581,581,154,46,144,20,417,315,873
32,003,005404,32003005404,5404,7000000US32003005404,3124,942,521,66,241,27,954,490,1699
32,003,005405,32003005405,5405,7000000US32003005405,4541,1112,798,101,258,66,1660,747,2884
32,003,005410,32003005410,5410,7000000US32003005410,3109,791,238,112,191,43,1291,637,2126
32,003,005412,32003005412,5412,7000000US32003005412,3219,799,465,107,414,28,963,666,1818
32,003,005413,32003005413,5413,7000000US32003005413,3039,716,255,107,493,36,1012,620,1781
32,003,005417,32003005417,5417,7000000US32003005417,2204,629,376,40,310,31,602,374,1128
32,003,005425,32003005425,5425,7000000US32003005425,1923,822,220,62,150,18,504,250,828
32,003,005430,32003005430,5430,7000000US32003005430,2955,971,348,74,242,38,897,541,1564
32,003,005500,32003005500,5500,7000000US32003005500,0,0,0,0,0,0,0,0,0
32,003,005501,32003005501,5501,7000000US32003005501,881,379,189,15,81,21,139,155,281
32,003,005502,32003005502,5502,7000000US32003005502,0,0,0,0,0,0,0,0,0
32,003,005503,32003005503,5503,7000000US32003005503,109,25,40,1,7,2,36,7,56
32,003,005504,32003005504,5504,7000000US32003005504,1834,707,195,62,192,17,454,326,876
32,003,005505,32003005505,5505,7000000US32003005505,2978,970,395,99,192,51,966,513,1637
32,003,005506,32003005506,5506,7000000US32003005506,0,0,0,0,0,0,0,0,0
32,003,005511,32003005511,5511,7000000US32003005511,1682,514,175,61,49,11,661,279,1093
32,003,005512,32003005512,5512,7000000US32003005512,2723,804,206,68,89,25,1129,480,1903
32,003,005513,32003005513,5513,7000000US32003005513,3222,909,268,102,360,78,1110,608,1874
32,003,005515,32003005515,5515,7000000US32003005515,1579,590,167,51,113,14,458,276,835
32,003,005521,32003005521,5521,7000000US32003005521,1328,442,98,50,56,12,503,217,882
32,003,005522,32003005522,5522,7000000US32003005522,2752,670,212,109,202,50,1109,563,1918
32,003,005523,32003005523,5523,7000000US32003005523,2063,667,185,82,342,38,475,409,1027
32,003,005524,32003005524,5524,7000000US32003005524,735,426,97,35,60,4,83,114,210
32,003,005525,32003005525,5525,7000000US32003005525,781,356,70,33,88,31,159,165,283
32,003,005531,32003005531,5531,7000000US32003005531,863,407,82,30,111,31,92,181,296
32,003,005532,32003005532,5532,7000000US32003005532,1617,635,430,39,135,23,265,194,478
32,003,005533,32003005533,5533,7000000US32003005533,1198,589,248,27,88,7,181,116,305
32,003,005534,32003005534,5534,7000000US32003005534,1623,458,83,61,203,25,612,269,981
32,003,005535,32003005535,5535,7000000US32003005535,1617,545,242,45,180,16,430,201,724
32,003,005536,32003005536,5536,7000000US32003005536,2356,971,240,79,191,25,551,453,1127
32,003,005537,32003005537,5537,7000000US32003005537,3088,675,150,86,206,10,1329,761,2396
32,003,005541,32003005541,5541,7000000US32003005541,556,117,157,24,83,27,132,107,236
32,003,005542,32003005542,5542,7000000US32003005542,3071,625,520,57,297,29,1362,301,1840
32,003,005543,32003005543,5543,7000000US32003005543,3256,510,483,89,235,45,1589,455,2244
32,003,005544,32003005544,5544,7000000US32003005544,5290,1203,768,169,452,73,2196,709,3423
32,003,005545,32003005545,5545,7000000US32003005545,4351,1646,1118,178,501,138,589,533,1220
32,003,005552,32003005552,5552,7000000US32003005552,2102,1106,228,107,203,40,287,369,633
32,003,005553,32003005553,5553,7000000US32003005553,1020,715,42,34,85,15,71,151,200
32,003,005554,32003005554,5554,7000000US32003005554,1620,874,235,41,195,54,122,237,349
32,003,005555,32003005555,5555,7000000US32003005555,960,579,89,24,94,16,97,113,221
32,003,005560,32003005560,5560,7000000US32003005560,1795,813,307,60,258,33,215,257,423
32,003,005561,32003005561,5561,7000000US32003005561,0,0,0,0,0,0,0,0,0
32,003,005562,32003005562,5562,7000000US32003005562,2987,968,610,127,376,55,548,549,1166
32,003,005563,32003005563,5563,7000000US32003005563,0,0,0,0,0,0,0,0,0
32,003,005564,32003005564,5564,7000000US32003005564,1570,856,89,39,132,14,265,274,661
32,003,005565,32003005565,5565,7000000US32003005565,2889,840,171,89,211,13,892,826,1903
32,003,005566,32003005566,5566,7000000US32003005566,1827,859,231,56,106,24,379,278,723
32,003,005567,32003005567,5567,7000000US32003005567,2092,900,218,103,193,35,483,352,892
32,003,005568,32003005568,5568,7000000US32003005568,1575,1031,180,47,118,23,97,184,286
32,003,005569,32003005569,5569,7000000US32003005569,1722,803,208,53,139,37,350,299,667
32,003,005570,32003005570,5570,7000000US32003005570,2532,1386,159,90,159,20,417,408,949
32,003,005571,32003005571,5571,7000000US32003005571,4868,1507,618,199,194,71,1600,948,2850
32,003,005572,32003005572,5572,7000000US32003005572,2250,804,247,92,236,32,562,463,1092
32,003,005573,32003005573,5573,7000000US32003005573,1321,764,138,16,159,14,127,172,331
32,003,005574,32003005574,5574,7000000US32003005574,712,409,99,37,91,19,34,135,133
32,003,005575,32003005575,5575,7000000US32003005575,878,458,103,25,91,24,103,143,216
32,003,005576,32003005576,5576,7000000US32003005576,1709,532,98,54,97,15,618,367,1123
32,003,005577,32003005577,5577,7000000US32003005577,1814,554,111,48,133,36,611,399,1217
32,003,005578,32003005578,5578,7000000US32003005578,1954,553,158,49,87,24,819,359,1393
32,003,005579,32003005579,5579,7000000US32003005579,1257,366,54,27,95,3,559,202,874
32,003,005580,32003005580,5580,7000000US32003005580,3931,1178,911,131,196,60,1071,646,1883
32,003,005581,32003005581,5581,7000000US32003005581,5869,1228,2385,215,468,126,1094,817,2048
32,003,005582,32003005582,5582,7000000US32003005582,4642,1640,1459,146,378,81,708,587,1330
32,003,005583,32003005583,5583,7000000US32003005583,4289,1274,1183,164,309,46,1066,474,1882
32,003,005584,32003005584,5584,7000000US32003005584,2429,1144,395,49,539,43,163,298,457
32,003,005585,32003005585,5585,7000000US32003005585,3564,970,855,124,509,100,803,492,1348
32,003,005586,32003005586,5586,7000000US32003005586,3953,1240,1681,119,482,87,302,383,651
32,003,005587,32003005587,5587,7000000US32003005587,2049,1309,232,51,258,19,96,230,291
32,003,005588,32003005588,5588,7000000US32003005588,1137,736,107,19,160,11,69,97,130
32,003,005589,32003005589,5589,7000000US32003005589,775,463,85,22,135,16,34,65,87
32,003,005590,32003005590,5590,7000000US32003005590,0,0,0,0,0,0,0,0,0
32,003,005591,32003005591,5591,7000000US32003005591,1978,546,278,71,338,45,481,398,960
32,003,005592,32003005592,5592,7000000US32003005592,2032,726,387,62,191,27,415,359,817
32,003,005593,32003005593,5593,7000000US32003005593,2151,842,407,50,235,22,377,345,757
32,003,005594,32003005594,5594,7000000US32003005594,1582,887,159,69,177,41,148,237,415
32,003,005595,32003005595,5595,7000000US32003005595,1795,672,345,97,117,31,341,341,753
32,003,005596,32003005596,5596,7000000US32003005596,4302,980,1106,102,464,54,1164,665,2053
32,003,005597,32003005597,5597,7000000US32003005597,1591,324,200,33,93,18,548,467,1090
32,003,005598,32003005598,5598,7000000US32003005598,3639,1185,502,116,233,45,1124,675,2031
32,003,005599,32003005599,5599,7000000US32003005599,24,4,4,6,1,2,2,14,6
32,003,005601,32003005601,5601,7000000US32003005601,2191,1104,270,57,201,29,357,328,737
32,003,005603,32003005603,5603,7000000US32003005603,2484,1110,168,80,236,46,541,469,1075
32,003,005604,32003005604,5604,7000000US32003005604,2382,1284,141,80,151,17,488,339,912
32,003,005612,32003005612,5612,7000000US32003005612,1801,574,190,86,199,36,464,398,966
32,003,005613,32003005613,5613,7000000US32003005613,2088,539,293,57,378,47,526,427,1048
32,003,005614,32003005614,5614,7000000US32003005614,2435,473,1193,69,123,30,403,295,722
32,003,005615,32003005615,5615,7000000US32003005615,1445,704,181,57,73,26,309,245,582
32,003,005616,32003005616,5616,7000000US32003005616,2112,672,293,83,307,47,502,414,1007
32,003,005617,32003005617,5617,7000000US32003005617,4120,1003,334,125,499,73,1516,782,2699
32,003,005620,32003005620,5620,7000000US32003005620,4835,1483,1355,145,315,78,1028,759,2013
32,003,005621,32003005621,5621,7000000US32003005621,2410,573,197,114,137,61,913,615,1684
32,003,005622,32003005622,5622,7000000US32003005622,1473,613,189,66,84,34,322,246,694
32,003,005623,32003005623,5623,7000000US32003005623,3353,1187,537,128,253,133,707,705,1524
32,003,005624,32003005624,5624,7000000US32003005624,1735,764,163,80,139,25,365,337,826
32,003,005625,32003005625,5625,7000000US32003005625,1781,702,147,72,124,27,458,340,963
32,003,005631,32003005631,5631,7000000US32003005631,1695,624,134,66,99,13,572,290,1000
32,003,005632,32003005632,5632,7000000US32003005632,2694,824,298,109,174,46,885,530,1668
32,003,005633,32003005633,5633,7000000US32003005633,3209,915,705,162,217,119,793,621,1572
32,003,005634,32003005634,5634,7000000US32003005634,1204,383,56,34,124,14,420,233,729
32,003,005635,32003005635,5635,7000000US32003005635,4394,1158,575,106,839,89,1059,845,2256
32,003,005636,32003005636,5636,7000000US32003005636,2181,1033,554,74,172,54,210,210,546
32,003,005641,32003005641,5641,7000000US32003005641,296,118,63,11,49,13,33,64,103
32,003,005642,32003005642,5642,7000000US32003005642,915,470,112,20,108,21,121,136,284
32,003,005643,32003005643,5643,7000000US32003005643,16,0,7,1,6,1,2,3,4
32,003,005644,32003005644,5644,7000000US32003005644,1,0,0,1,0,0,0,1,1
32,003,005649,32003005649,5649,7000000US32003005649,1562,972,175,34,257,16,70,163,212
32,003,005650,32003005650,5650,7000000US32003005650,3656,2251,329,90,494,48,248,473,716
32,003,005651,32003005651,5651,7000000US32003005651,528,282,69,19,96,9,4,117,87
32,003,005652,32003005652,5652,7000000US32003005652,1539,1167,99,47,96,23,51,171,180
32,003,005653,32003005653,5653,7000000US32003005653,3050,1663,295,161,184,61,516,480,1046
32,003,005654,32003005654,5654,7000000US32003005654,2111,976,342,75,163,29,364,334,729
32,003,005655,32003005655,5655,7000000US32003005655,2293,1428,229,77,378,32,70,322,284
32,003,005903,32003005903,5903,7000000US32003005903,0,0,0,0,0,0,0,0,0
32,003,005904,32003005904,5904,7000000US32003005904,0,0,0,0,0,0,0,0,0
32,003,005905,32003005905,5905,7000000US32003005905,0,0,0,0,0,0,0,0,0
32,003,005906,32003005906,5906,7000000US32003005906,0,0,0,0,0,0,0,0,0
32,003,006040,32003006040,6040,7000000US32003006040,2353,774,148,79,284,46,798,362,1220
32,003,006057,32003006057,6057,7000000US32003006057,2438,1133,279,49,735,31,126,230,365
32,003,006062,32003006062,6062,7000000US32003006062,1762,806,148,64,299,37,300,274,605
32,003,006066,32003006066,6066,7000000US32003006066,1425,661,148,50,330,28,162,179,318
